shastragaar,शस्त्रागार
krisnaswamy,क्रिष्णास्वामी
kodekh,कोदेख
laisram,लाइसराम
honen,होनेन
mohsib,मोहसिब
miyagaon,मियागांव
yavhararth,यवहारार्थ
namoda,नमोदा
jitah,जीतः
andure,अंधुरे
pgpathshala,पीजीपाठशाला
bhartar,भरतर
kukrail,कुकरैल
nippal,निप्पल
alastonia,एलस्टोनिया
anevala,आनेवाला
bhagwabheshdhariyon,भगवाभेषधारियों
taapmaanaapramaane,तापमानाप्रमाणे
teejiye,तीजिये
praadakt,प्राडक्ट
khapha,खफा
hamda,हमदा
mahotsavpurv,महोत्सवपूर्व
shaadiyaan,शादियां
daggiraja,डग्गीराजा
empyema,एम्पिएमा
punarutthan,पुनरुत्थान
nainibai,नैनीबाई
icfp,आईसीएफपी
jasdeepak,जसदीपक
averrhos,एवररोएस
gunhegaris,गुन्हेगारीस
rishinagari,ऋषिनगरी
parishdahi,परिषदाही
spicejet,स्पाइसजैट
uddalan,उद्दलन
khadkaye,खड़काए
bariranchi,बरीरांची
moinuddola,मोइनुद्दोला
apnar,अपनार
haruwal,हरूवाल
maramalai,मारामलाई
toothpouder,टूथपाउडर
photonirvachak,फोटोनिर्वाचक
lilotia,लिलोतिया
mulank,मूलांक
divyangtaon,दिव्यांगताओं
parosenge,परोसेंगे
bhikam,भिकम
mrityukund,मृत्युकुंड
elita,एलीटा
khusra,खुसरा
compactor,कैम्पेक्टर
pradhansangh,प्रधानसंघ
drpne,डीआरपीने
sigala,सिगाला
badigar,बाड़ीगर
lados,लैडोस
sanhji,संजी
jnfoxx,जेएनएफओएक्सएक्स
loktantratmak,लोकतन्त्रात्मक
aapoko,आपोको
hansard,हैनसार्ड
trades,ट्रेड
bandanantar,बंदनंतर
aagyaakaari,आज्ञाकारी
vijetachandreshwar,विजेताचंद्रेश्वर
jhijhakta,झिझकता
flattery,फ्लेटरी
quetzal,केटज़ल
syndromes,सिन्ड्रोम
bharosingh,भरोसिंह
navintaon,नवीनताओं
kuprachar,कुप्रचार
erdogan,एर्डोगान
jodhpurmein,जोधपुरमें
durllabha,दुर्लभा
wajahatji,वजाहतजी
ranjeeton,रणजीतों
dartington,डार्टिंगटन
sreyan,श्रीयान
evaluation,इवेल्यूशन
bitumen,बिट्यूमेन
saddamon,सद्दामों
prefectural,प्रीफेक्चुरल
styling,स्टायलिंग
machlandpur,मछलंदपुर
skiin,स्कीन
reekhen,रीखें
kavikulbodh,कविकुलबोध
adhisoochit,अधिसूचित
splander,स्प्लैण्डर
vestager,वेस्टेजर
bootiyan,बूटियां
rerachi,रेराची
vaidhika,वैधिका
uktiyukt,उक्तियुक्त
dorkhandache,दोरखंडाचे
jogipat,जोगीपट
kundlal,कुंदलाल
microfibres,माइक्रोफाइबर्स
kameepar,कमीपर
jayawant,जयवन्त
kichikitsa,किचिकित्सा
shlokala,श्लोकला
shalyachikitsiya,शल्यचिकित्सीय
chauyal,चौयल
papagni,पापाग्नि
matiullah,मतीउल्ला
chinmayanand,चिनमयानंद
anishwarvaadi,अनिश्वरवादी
sanketatmak,संकेतात्मक
rozen,रोजेन
durustikami,दुरुस्तीकामी
demulder,डेमुल्डर
jaakhadaanvaali,जाखड़ांवाली
rvk,आरवीके
rushikumar,रुशिकुमार
sigur,सिगुर
aerosol,एरोसॉल
kaamans,कामन्स
methenal,मेथेनाल
nyoojik,न्यूजिक
wordfare,वर्डफेयर
jksrlm,जेकेएसआरएलएम
antahvaasiyon,अन्तःवासियों
congressne,कांग्रेसने
limvirodhi,लिमविरोधी
mundlana,मुंड़लाना
havihotra,हविहोत्र
aakhaa,आखा
varshako,वर्षको
pardarshipana,पारदर्शीपणा
chhotaipatti,छोटाईपट्टी
bahyaswarup,बाह्यस्वरूप
pratisoochit,प्रतिसूचित
benezir,बेनेजीर
gadhchirauli,गढचिरौली
suprimon,सुप्रीमों
chaidhariya,चैधरिया
taktaal,तक्ताल
persived,पर्सीव्ड
navpranaya,नवप्रणय
vevik,वेविक
santaki,संतकी
chhaabani,छाबनी
dakshindas,दक्षिणदास
poonchhdaar,पूंछदार
sikharwar,सिखरवार
suabh,सुअभ
juhemann,जुहेमान
urdhvapatit,ऊर्ध्वपातित
sukhasini,सुखासिनी
karanje,करंजे
ladengi,लडेंगी
diacor,डायकोर
fonseka,फोनसेका
pradaayagi,प्रदायगी
community,कम्युनिटी
metallics,मेटालिंक्स
aahaarke,आहारके
buik,बुइक
ehtesam,एहतेसाम
jaco,जैको
plomo,प्लोमो
naazaan,नाज़ां
pashupakshyanchi,पशुपक्ष्यांची
breasts,ब्रेस्ट्स
dukhen,दुखें
gaforov,गाफोरोव
sahya,सह्य
chhappi,छप्पी
suiture,स्यूचर
frashchlore,फ्रेशक्लोर
mahadwarat,महाद्वारात
diastema,डायस्टेमा
aptenagar,आपटेनगर
shishmahal,शीशमहल
charmavnaddha,चर्मावनद्ध
jvpc,जेवीपीसी
hippies,हिप्पीज
rogaanurodhee,रोगाणुरोधी
sevaiyaan,सेवइयां
trabunal,ट्राब्युनल
mahititoon,माहितीतून
masakate,मसकते
chappin,चैपिन
jaggadih,जग्गाडीह
sakoolon,सकूलों
chiplis,चिपलिस
rogonki,रोगोंकी
subheeksha,सुभिक्ष
shaharadhyaksha,शहराध्यक्षा
tolein,तोलें
adharech,अधारेच
sevakabhaau,सेवकभाऊ
deosthale,देओस्थले
aakrutiyaan,आकृतियां
glabol,ग्लबोल
radicalisation,रेडिक्लाइजेशन
tarowal,तरोवाल
dookhun,दुखुन
karyneiti,कार्यनीति
baptiste,बापटीस्टे
swachalan,स्वचालन
vishadikaran,विशदीकरण
refelov,रेफेलोव
zhui,झुई
khojaopur,खोजाओपुर
dushprachaaro,दुष्प्रचारो
sahbola,सहबोला
minke,मिनके
massu,मासु
barisma,बरिस्मा
swat,स्वात
sndrak,सांद्रक
krishibhushan,कृषिभूषण
gothaav,गोठाव
skenting,स्केंटिंग
lautaayen,लौटायें
gaupalan,गौपालन
demining,डीमाइनिंग
ladhalyaane,लढल्याने
dwibhaji,द्विभाजी
sevolod,सेवोलोद
vanay,वनय
netseva,नेटसेवा
kuntiputra,कुंतीपुत्र
doliyaan,डोलियां
raghuvaiah,रघुवैया
vijayalal,विजयलाल
kuruganti,कुरुगंटी
ozawa,ओज़ावा
khojatey,रवोजते
chubte,चुबते
manovaigyaanakon,मनोवैज्ञानकों
setisafai,सेटिसफाई
vayanantar,वयानंतर
engets,एंजेट्स
tynsong,टीनसॉन्ग
manjooshaaen,मंजूषाएँ
aerobatic,एयरोबेटिक
samarpriya,समरप्रिय
nanantarahi,नानंतरही
saksharon,साक्षरों
aryendu,आर्येन्दु
langfer,लंगफेर
stanislav,स्टैनीस्लाव
huashang,हुआशांग
nyaase,न्यासे
computerke,कॉम्प्यूटरके
tyalgatche,त्यालगतचे
amrtisar,अमृतसर
shetmalawar,शेतमालावर
putrajaya,पुत्रजय
batory,बैटोरी
muharband,मुहरबन्द
portamor,पोर्टमोर
prakaarantar,प्रकारान्तर
wimalasiri,विमलसिरी
uchchsthaan,उच्चस्थान
microfibrillated,मैक्रोफिब्रिलेटेड
anaupachaariktaa,अनौपचारिकता
shidorivar,शिदोरीवर
bhadolawali,भड़ोलावाली
prosecutors,प्रोसीक्यूटरों
rationalisation,रैशनेलाइजेशन
yagyama,यज्ञमा
chulchuli,चुलचुली
pathaakhe,पठाखे
jhirota,झिरोता
vallabhe,वल्लभे
vasatigrihanchi,वसतिगृहांची
sujanpura,सुजानपुरा
bhaleti,भलेती
malangar,मलंगर
dastyaab,दस्त्याब
shrikhande,श्रीखंडे
mauza,मौज़ा
malipaddi,मालीपड्डी
frith,फ्रिथ
gauribidanur,गौरीबिदानुर
asimamit,असिममित
koekhar,कोएखर
lokdev,लोकदेव
vilaypatra,विलयपत्र
raveye,रवेये
devvrut,देवव्रत
photodetector,फोटोडिटेक्टर
caravan,कैरवन
satyanarayani,सत्यनारायणी
ambikaprasad,अंबिकाप्रसाद
jahangirpura,जहांगिरपुरा
medodhatu,मेदोधातु
suluki,सुलूकी
patpanyacha,पाटपाण्याचा
menkhiskhisahat,मेंखिसखिसाहट
gliwice,ग्लिवीस
rangari,रंगारी
punyase,पुण्यसे
seemalkhet,सीमलखेत
loksabharajyasabha,लोकसभाराज्यसभा
adhyakshatajiladhyaksh,अध्यक्षताजिलाध्यक्ष
paudwal,पौड़वाल
hvof,एचवीओएफ
istapaat,इस्तपात
paliakheda,पालियाखेड़ा
karafee,करफी
